Try the new events page,,,,,
,Submit an event! ,Cerebral Valley,,,
,,Join our Slack Community,,,
,📧 Subscribe to the Events Newsletter,New York,London,Seattle,
,📧 DM Cerebral Valley on Twitter,Click to see 2025 Events!,,,
Month,Event,Start Date,End Date,Location,Link
October,GPU Mode Hackathon,24 October,24 October,"San Francisco, CA",https://events.accel.com/gpumodehackathon
,PyTorch Dendritic Optimization Hackathon,23 October,23 October,"San Francisco, CA",https://luma.com/29ao8utd
,TEDAI San Francisco Hackathon,18 October,19 October,"San Francisco, CA",https://tedai-sanfrancisco.ted.com/hackathon/
,WeaveHacks 2: Self-Improving Agents Hackathon with Weights & Biases and Google Cloud,11 October,12 October,"San Francisco, CA",https://luma.com/weavehacks2
,Agentic Memory & Context Engineering Hackathon,11 October,11 October,"San Francisco, CA",https://partiful.com/e/SJZa5f8VCrcyTLMCvRsv
,Supabase Select Hackathon,4 October,4 October,"San Francisco, CA",https://luma.com/1ygcx99w
September,Reborn Roboverse Global Hackathon,29 September,6 October,Remote,https://hackathon.reborn-ai.xyz/?utm_source=cv-events
,Hack the Next Voice Agent,27 September,27 September,"Palo Alto, CA",https://luma.com/xcx9dvik
,"Fullstack Agents Hackathon (Feat LlamaIndex, CopilotKit & Composio) ",27 September,27 September,"Mountain View, CA",https://luma.com/k3gytona
,Silicon Valley AI Hub Hackathon,26 September,26 September,"Menlo Park, CA",https://cerebralvalley.ai/e/svai-hub-hackathon?tab=guest-list
,Coding with AI Hackathon,26 September,26 September,"San Francisco, CA",https://luma.com/ai-coding-hack
,Decentralized AI Hackathon at Stanford powered by Flower,26 September,26 September,"Stanford, CA",https://luma.com/svkgfw2w
,$5000 De-Vibed Hackathon,19 September,20 September,"San Francisco, CA",https://luma.com/dj3k3tri
,AI Agents Hackathon,19 September,19 September,"San Francisco, CA",https://lu.ma/8c6n3rn2
,Voice Agent Hackathon,19 September,19 September,"San Francisco, CA",https://lu.ma/suhy8sgz
,The Modern Stack Hackathon,16 September,29 September,Remote,https://www.convex.dev/hackathons/modernstack
,Hackathon: Build Your AI Teammate,13 September,14 September,"San Francisco, CA",https://luma.com/9t4bxc8x
,Multi-Agent Hackathon,13 September,13 September,"San Francisco, CA",https://luma.com/i7shx4y6
,AI Vibe Coding Hackathon,13 September,13 September,"San Francisco, CA",https://lu.ma/f13dwefh
,xAI + Vercel Hackathon,11 September,11 September,"San Francisco, CA",https://partiful.com/e/sa3etfyhGd50TSuWUktU
,Vibe Labs Workshop & Hackathon,8 September,8 September,"San Francisco, CA",https://lu.ma/vibes-shipathon
,Nano Banana Hackathon,6 September,6 September,"San Francisco, CA",https://cerebralvalley.ai/e/nano-banana?utm_source=cv-events-featured&utm_medium=cerebralvalley&tab=guest-list
August,CrewAI Hackathon,23 August,23 August,"San Francisco, CA",https://lu.ma/cif1kc8v
,Applied AI Hackathon,23 August,23 August,"San Francisco, CA",https://lu.ma/5j1xt7tg
,YC Agents Hackathon,22 August,23 August,"San Francisco, CA",https://lu.ma/pz27h0xy
,The KumoRFM Hackathon Challenge,20 August,20 August,"San Francisco, CA",https://lu.ma/w0xg3dct
,AI Collective Presents: GenJam Video Hackathon,16 August,16 August,"San Francisco, CA",https://lu.ma/aic-gl-8-16
